,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tên dự án:,Delivery Management System,Số test case:,716,,,,,,,,,,,
169,Aut_DK_TC_27,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Đăng ký khi Server localhost tắt,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Đăng ký khi Server localhost tắt,Test Data TBD,Expected Result TBD,,,,High
170,Aut_DK_TC_28,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Để trống ô Confirm Password,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /register,URL: http://localhost:3000/register,,,,,High
171,,,,,,,2,Nhập First Name,First Name: Nguyễn,,,,,
172,,,,,,,3,Nhập Last Name,Last Name: Văn A,,,,,
173,,,,,,,4,Nhập Email,Email: test@example.com,,,,,
174,,,,,,,5,Nhập Password,Password: Pass@123456,,,,,
175,,,,,,,6,Để trống Confirm Password,Confirm Pass: (rỗng),,,,,
176,,,,,,,7,Click Register,Button ID: btn-register,"Thông báo lỗi: ""Vui lòng xác nhận mật khẩu.""",,,,
177,Aut_DK_TC_29,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Email có độ dài cực đại (Boundary),User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Email có độ dài cực đại (Boundary),Test Data TBD,Expected Result TBD,,,,High
178,Aut_DK_TC_30,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Email viết IN HOA,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Email viết IN HOA,Test Data TBD,Expected Result TBD,,,,High
179,Aut_DK_TC_31,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Kiểm tra lỗi XSS trong FN/LN,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra lỗi XSS trong FN/LN,Test Data TBD,Expected Result TBD,,,,High
180,Aut_DK_TC_32,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Trạng thái nút Register sau 1 lần nhấn,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Trạng thái nút Register sau 1 lần nhấn,Test Data TBD,Expected Result TBD,,,,High
181,Aut_DK_TC_33,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Khoảng trắng ở đầu/cuối thông tin,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Khoảng trắng ở đầu/cuối thông tin,Test Data TBD,Expected Result TBD,,,,High
182,Aut_DK_TC_34,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Password và Confirm Pass giống hệt nhau,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Password và Confirm Pass giống hệt nhau,Test Data TBD,Expected Result TBD,,,,High
183,Aut_DK_TC_35,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,Kiểm tra URL sau thành công,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Kiểm tra URL sau thành công,Test Data TBD,Expected Result TBD,,,,High
184,Aut_DK_TC_36,Authentication,Aut_DangKy,Kiểm tra chức năng đang ký,"Kiểm tra nút ""Continue"" sau đăng ký",User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,"Kiểm tra nút ""Continue"" sau đăng ký",Test Data TBD,Expected Result TBD,,,,High
185,Ord_ThemDH_TC_01,Order Management,Ord_ThêmDH,Thêm đơn hàng,Tạo đơn thành công với đầy đủ thông tin hợp lệ,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Mở trang /orders/create,URL: http://localhost:3000/orders/create,,,,,High
186,,,,,,,2,Nhập tên khách hàng,Name: Nguyễn Văn A,,,,,
187,,,,,,,3,Nhập số điện thoại,Phone: 0912345678,,,,,
188,,,,,,,4,Nhập địa chỉ,"Address: 123 Đường ABC, TP.HCM",,,,,
189,,,,,,,5,Chọn Tỉnh/Thành phố,Province: TP. Hồ Chí Minh,,,,,
190,,,,,,,6,Chọn Quận/Huyện,District: Quận 1,,,,,
191,,,,,,,7,Chọn Phường/Xã,Ward: Phường Bến Nghé,,,,,
192,,,,,,,8,Chọn loại bao bì,Package: Gói tiêu chuẩn,,,,,
193,,,,,,,9,Nhập trọng lượng,Weight: 5 kg,,,,,
194,,,,,,,10,Chọn phương thức thanh toán,Payment: COD (Gửi thường),,,,,
195,,,,,,,11,Click nút Tạo đơn,Button click,Đơn hàng được tạo thành công. OrderCode tự động sinh: DH{yyyyMMddHHmmssfff}{nnn}. Gửi thông báo cho admin và khách. Chuyển hướng tới trang chi tiết đơn.,,,,
196,Ord_ThemDH_TC_02,Order Management,Ord_ThêmDH,Thêm đơn hàng,Để trống tên khách hàng,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Mở trang /orders/create,URL: http://localhost:3000/orders/create,,,,,High
197,,,,,,,2,Để trống tên khách hàng,Name: (rỗng),,,,,
198,,,,,,,3,Điền các trường khác hợp lệ,Fill other fields...,,,,,
199,,,,,,,4,Click Tạo đơn,Button click,Form không được submit. Hiển thị validation lỗi trên các trường trống/sai.,,,,
200,Ord_ThemDH_TC_03,Order Management,Ord_ThêmDH,Thêm đơn hàng,Để trống số điện thoại khách,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Để trống số điện thoại khách,Test Data TBD,Expected Result TBD,,,,High
201,Ord_ThemDH_TC_04,Order Management,Ord_ThêmDH,Thêm đơn hàng,Để trống địa chỉ giao hàng,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Để trống địa chỉ giao hàng,Test Data TBD,Expected Result TBD,,,,High
202,Ord_ThemDH_TC_05,Order Management,Ord_ThêmDH,Thêm đơn hàng,Để trống phường/xã,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Để trống phường/xã,Test Data TBD,Expected Result TBD,,,,High
203,Ord_ThemDH_TC_06,Order Management,Ord_ThêmDH,Thêm đơn hàng,Để trống quận/huyện,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Để trống quận/huyện,Test Data TBD,Expected Result TBD,,,,High
204,Ord_ThemDH_TC_07,Order Management,Ord_ThêmDH,Thêm đơn hàng,Để trống tỉnh/thành phố,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Để trống tỉnh/thành phố,Test Data TBD,Expected Result TBD,,,,High
205,Ord_ThemDH_TC_08,Order Management,Ord_ThêmDH,Thêm đơn hàng,Để trống loại bao bì,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Để trống loại bao bì,Test Data TBD,Expected Result TBD,,,,High
206,Ord_ThemDH_TC_09,Order Management,Ord_ThêmDH,Thêm đơn hàng,Loại bao bì = Gói nhỏ (0),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Loại bao bì = Gói nhỏ (0),Test Data TBD,Expected Result TBD,,,,High
207,Ord_ThemDH_TC_10,Order Management,Ord_ThêmDH,Thêm đơn hàng,Loại bao bì = Xe (11),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Loại bao bì = Xe (11),Test Data TBD,Expected Result TBD,,,,High
208,Ord_ThemDH_TC_11,Order Management,Ord_ThêmDH,Thêm đơn hàng,Trọng lượng = 0,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Trọng lượng = 0,Test Data TBD,Expected Result TBD,,,,High
209,Ord_ThemDH_TC_12,Order Management,Ord_ThêmDH,Thêm đơn hàng,Trọng lượng = -5 (Âm),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Trọng lượng = -5 (Âm),Test Data TBD,Expected Result TBD,,,,High
210,Ord_ThemDH_TC_13,Order Management,Ord_ThêmDH,Thêm đơn hàng,Khoảng cách = 0,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Khoảng cách = 0,Test Data TBD,Expected Result TBD,,,,High
211,Ord_ThemDH_TC_14,Order Management,Ord_ThêmDH,Thêm đơn hàng,Khoảng cách = -10 (Âm),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Khoảng cách = -10 (Âm),Test Data TBD,Expected Result TBD,,,,High
212,Ord_ThemDH_TC_15,Order Management,Ord_ThêmDH,Thêm đơn hàng,Để trống phương thức thanh toán,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Để trống phương thức thanh toán,Test Data TBD,Expected Result TBD,,,,High
213,Ord_ThemDH_TC_16,Order Management,Ord_ThêmDH,Thêm đơn hàng,Phương thức = Gửi thường (0) - COD,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Phương thức = Gửi thường (0) - COD,Test Data TBD,Expected Result TBD,,,,High
214,Ord_ThemDH_TC_17,Order Management,Ord_ThêmDH,Thêm đơn hàng,Phương thức = Gửi nhanh (1),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Phương thức = Gửi nhanh (1),Test Data TBD,Expected Result TBD,,,,High
215,Ord_ThemDH_TC_18,Order Management,Ord_ThêmDH,Thêm đơn hàng,Phương thức = Thanh toán trực tuyến (3) + thiếu cổng thanh toán,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Phương thức = Thanh toán trực tuyến (3) + thiếu cổng thanh toán,Test Data TBD,Expected Result TBD,,,,High
216,Ord_ThemDH_TC_19,Order Management,Ord_ThêmDH,Thêm đơn hàng,Phương thức = Thanh toán trực tuyến + cổng VNPay,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Phương thức = Thanh toán trực tuyến + cổng VNPay,Test Data TBD,Expected Result TBD,,,,High
217,Ord_ThemDH_TC_20,Order Management,Ord_ThêmDH,Thêm đơn hàng,Phương thức = Thanh toán trực tuyến + cổng Momo,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Phương thức = Thanh toán trực tuyến + cổng Momo,Test Data TBD,Expected Result TBD,,,,High
218,Ord_ThemDH_TC_21,Order Management,Ord_ThêmDH,Thêm đơn hàng,Để trống loại giao hàng,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Để trống loại giao hàng,Test Data TBD,Expected Result TBD,,,,High
219,Ord_ThemDH_TC_22,Order Management,Ord_ThêmDH,Thêm đơn hàng,Loại giao = Giao hàng thường (0),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Loại giao = Giao hàng thường (0),Test Data TBD,Expected Result TBD,,,,High
220,Ord_ThemDH_TC_23,Order Management,Ord_ThêmDH,Thêm đơn hàng,Loại giao = Giao hàng nhanh (1),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Loại giao = Giao hàng nhanh (1),Test Data TBD,Expected Result TBD,,,,High
221,Ord_ThemDH_TC_24,Order Management,Ord_ThêmDH,Thêm đơn hàng,Hàng dễ vỡ (IsFragile) = true + Trọng lượng = 5kg,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Hàng dễ vỡ (IsFragile) = true + Trọng lượng = 5kg,Test Data TBD,Expected Result TBD,,,,High
222,Ord_ThemDH_TC_25,Order Management,Ord_ThêmDH,Thêm đơn hàng,Hàng giá trị (IsValuable) = true + Số tiền = 500000,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Hàng giá trị (IsValuable) = true + Số tiền = 500000,Test Data TBD,Expected Result TBD,,,,High
223,Ord_ThemDH_TC_26,Order Management,Ord_ThêmDH,Thêm đơn hàng,Thu tiền (CollectMoney) = true + Số tiền = 100000,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Thu tiền (CollectMoney) = true + Số tiền = 100000,Test Data TBD,Expected Result TBD,,,,High
224,Ord_ThemDH_TC_27,Order Management,Ord_ThêmDH,Thêm đơn hàng,Thu tiền = false + nhập số tiền,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Thu tiền = false + nhập số tiền,Test Data TBD,Expected Result TBD,,,,High
225,Ord_ThemDH_TC_28,Order Management,Ord_ThêmDH,Thêm đơn hàng,Ghi chú > 2000 ký tự,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Ghi chú > 2000 ký tự,Test Data TBD,Expected Result TBD,,,,High
226,Ord_ThemDH_TC_29,Order Management,Ord_ThêmDH,Thêm đơn hàng,Ghi chú = 2000 ký tự (giới hạn),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Ghi chú = 2000 ký tự (giới hạn),Test Data TBD,Expected Result TBD,,,,High
227,Ord_ThemDH_TC_30,Order Management,Ord_ThêmDH,Thêm đơn hàng,Tính phí: Khoảng cách=10km,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Tính phí: Khoảng cách=10km,Test Data TBD,Expected Result TBD,,,,High
228,Ord_ThemDH_TC_31,Order Management,Ord_ThêmDH,Thêm đơn hàng,Admin có thể tạo đơn cho khách bất kỳ,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Admin có thể tạo đơn cho khách bất kỳ,Test Data TBD,Expected Result TBD,,,,High
229,Ord_ThemDH_TC_32,Order Management,Ord_ThêmDH,Thêm đơn hàng,Khách hàng chỉ tạo đơn cho chính mình,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Khách hàng chỉ tạo đơn cho chính mình,Test Data TBD,Expected Result TBD,,,,High
230,Ord_ThemDH_TC_33,Order Management,Ord_ThêmDH,Thêm đơn hàng,Shipper cố gắng tạo đơn,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Shipper cố gắng tạo đơn,Test Data TBD,Expected Result TBD,,,,High
231,Ord_ThemDH_TC_34,Order Management,Ord_ThêmDH,Thêm đơn hàng,Gửi đơn mà không có JWT token,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Gửi đơn mà không có JWT token,Test Data TBD,Expected Result TBD,,,,High
232,Ord_ThemDH_TC_35,Order Management,Ord_ThêmDH,Thêm đơn hàng,Tự động sinh OrderCode: DH{yyyyMMddHHmmssfff}{nnn},User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Tự động sinh OrderCode: DH{yyyyMMddHHmmssfff}{nnn},Test Data TBD,Expected Result TBD,,,,High
233,Ord_ThemDH_TC_36,Order Management,Ord_ThêmDH,Thêm đơn hàng,Gửi OrderCode thủ công + không trùng,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Gửi OrderCode thủ công + không trùng,Test Data TBD,Expected Result TBD,,,,High
234,Ord_ThemDH_TC_37,Order Management,Ord_ThêmDH,Thêm đơn hàng,Gửi OrderCode trùng 2 lần,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Gửi OrderCode trùng 2 lần,Test Data TBD,Expected Result TBD,,,,High
235,Ord_ThemDH_TC_38,Order Management,Ord_ThêmDH,Thêm đơn hàng,Kiểm tra trạng thái đơn ban đầu,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra trạng thái đơn ban đầu,Test Data TBD,Expected Result TBD,,,,High
236,Ord_ThemDH_TC_39,Order Management,Ord_ThêmDH,Thêm đơn hàng,Kiểm tra CreatedByUserId được lấy từ JWT,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra CreatedByUserId được lấy từ JWT,Test Data TBD,Expected Result TBD,,,,High
237,Ord_ThemDH_TC_40,Order Management,Ord_ThêmDH,Thêm đơn hàng,Xác minh thông báo được gửi sau khi tạo đơn,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xác minh thông báo được gửi sau khi tạo đơn,Test Data TBD,Expected Result TBD,,,,High
238,Ord_LocDon_TC_01,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc đơn hàng theo trạng thái (Pending),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc đơn hàng theo trạng thái (Pending),Test Data TBD,Expected Result TBD,,,,High
239,Ord_LocDon_TC_02,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc đơn hàng theo trạng thái (Processing),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc đơn hàng theo trạng thái (Processing),Test Data TBD,Expected Result TBD,,,,High
240,Ord_LocDon_TC_03,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc đơn hàng theo trạng thái (Delivered),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc đơn hàng theo trạng thái (Delivered),Test Data TBD,Expected Result TBD,,,,High
241,Ord_LocDon_TC_04,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc đơn hàng theo trạng thái (Cancelled),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc đơn hàng theo trạng thái (Cancelled),Test Data TBD,Expected Result TBD,,,,High
242,Ord_LocDon_TC_05,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc đơn hàng theo khoảng thời gian,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc đơn hàng theo khoảng thời gian,Test Data TBD,Expected Result TBD,,,,High
243,Ord_LocDon_TC_06,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc đơn hàng theo khoảng giá (min-max),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc đơn hàng theo khoảng giá (min-max),Test Data TBD,Expected Result TBD,,,,High
244,Ord_LocDon_TC_07,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc đơn hàng theo tên khách hàng,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc đơn hàng theo tên khách hàng,Test Data TBD,Expected Result TBD,,,,High
